,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_name,release_date
147,0.686,0.793,10,0.0411,0.000682,0.038,0.0494,0.786,103.688,241867,4,*NSYNC,1998-11-06
148,0.706,0.939,9,0.0316,0.0181,0.000125,0.31,0.912,118.019,206827,4,*NSYNC,1998-11-06
149,0.65,0.934,5,0.0474,0.116,0.0,0.867,0.737,105.001,252200,4,*NSYNC,1998-11-06
150,0.589,0.823,7,0.0257,0.145,0.000226,0.381,0.604,95.018,223440,4,*NSYNC,1998-11-06
151,0.53,0.58,8,0.0259,0.00795,0.0,0.182,0.25,153.961,272507,3,*NSYNC,1998-11-06
152,0.27,0.281,2,0.0268,0.784,1.05e-05,0.296,0.197,98.377,234467,3,*NSYNC,1998-11-06
153,0.695,0.741,8,0.0343,0.0726,0.0,0.356,0.725,126.062,244600,4,*NSYNC,1998-11-06
154,0.486,0.749,2,0.0263,0.00455,0.0,0.351,0.335,83.311,208267,3,*NSYNC,1998-11-06
155,0.6,0.684,9,0.0376,0.425,0.0,0.124,0.458,80.902,269427,4,*NSYNC,1998-10-30
156,0.529,0.592,8,0.0266,0.00755,0.0,0.132,0.217,154.01,274173,3,*NSYNC,1998-10-30
157,0.595,0.701,9,0.0247,0.105,0.0,0.141,0.374,84.019,287893,4,*NSYNC,1998-10-30
158,0.642,0.939,5,0.0463,0.103,0.0,0.881,0.756,105.003,255307,4,*NSYNC,1998-10-30
159,0.521,0.517,7,0.0243,0.325,1.84e-05,0.225,0.334,102.427,195493,3,*NSYNC,1998-10-30
160,0.464,0.535,6,0.0241,0.123,0.0,0.179,0.274,146.542,233773,4,*NSYNC,1998-10-30
161,0.587,0.837,7,0.0258,0.132,0.00015,0.407,0.545,95.016,225493,4,*NSYNC,1998-10-30
162,0.479,0.761,2,0.0274,0.00657,0.0,0.232,0.361,83.308,210307,3,*NSYNC,1998-10-30
163,0.693,0.751,11,0.0299,0.066,0.0,0.316,0.691,126.07,248227,4,*NSYNC,1998-10-30
164,0.548,0.449,0,0.0286,0.306,0.0,0.226,0.258,135.986,270173,4,*NSYNC,1998-10-30
165,0.199,0.217,5,0.0293,0.901,0.0,0.107,0.299,187.112,215600,3,*NSYNC,1998-10-30
166,0.216,0.28,2,0.0306,0.784,1.6e-05,0.222,0.181,87.642,236000,4,*NSYNC,1998-10-30
167,0.533,0.52,4,0.0249,0.237,0.0,0.257,0.189,80.878,233093,4,*NSYNC,1998-10-30
168,0.706,0.948,9,0.0318,0.0173,6.87e-05,0.256,0.88,118.021,211187,4,*NSYNC,1998-10-30
169,0.6,0.684,9,0.0376,0.425,0.0,0.124,0.458,80.902,269427,4,*NSYNC,1998
170,0.529,0.592,8,0.0266,0.00755,0.0,0.132,0.217,154.01,274173,3,*NSYNC,1998
171,0.595,0.701,9,0.0247,0.105,0.0,0.141,0.374,84.019,287893,4,*NSYNC,1998
172,0.642,0.939,5,0.0463,0.103,0.0,0.881,0.756,105.003,255307,4,*NSYNC,1998
173,0.521,0.517,7,0.0243,0.325,1.84e-05,0.225,0.334,102.427,195493,3,*NSYNC,1998
174,0.464,0.535,6,0.0241,0.123,0.0,0.179,0.274,146.542,233773,4,*NSYNC,1998
175,0.587,0.837,7,0.0258,0.132,0.00015,0.407,0.545,95.016,225493,4,*NSYNC,1998
176,0.479,0.761,2,0.0274,0.00657,0.0,0.232,0.361,83.308,210307,3,*NSYNC,1998
177,0.693,0.751,11,0.0299,0.066,0.0,0.316,0.691,126.07,248227,4,*NSYNC,1998
178,0.548,0.449,0,0.0286,0.306,0.0,0.226,0.258,135.986,270173,4,*NSYNC,1998
179,0.199,0.217,5,0.0293,0.901,0.0,0.107,0.299,187.112,215600,3,*NSYNC,1998
